shuffle	jackknife	query	spec	pid	prediCAT	forced_prediCAT	snn	asm	asm_matches
jk1	k10_as_query	BGC0001125_AIW82285-1_488_mod1_thr	thr	75.31	no_confident_result	deoxy-thr	0.640407272115529	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k10_as_query	BGC0001147_AIS24862-1_37_mod1_glycy	glycy	38.55	no_confident_result	no_confident_result	0	glycy	9
jk1	k10_as_query	BGC0001147_AIS24862-1_37_mod1_glycy	glycy	38.55	no_confident_result	no_confident_result	0	glycy	9
jk1	k10_as_query	BGC0001149_CDF96614-1_1540_mod2_pro	pro	42.91	no_confident_result	pro	0	pro	9
jk1	k10_as_query	BGC0001149_CDF96614-1_1540_mod2_pro	pro	42.91	no_confident_result	pro	0	pro	9
jk1	k10_as_query	CCJ67639-1_2757_mod3_d-val	d-val	94.96	no_confident_result	d-val	4.04692090529881	d-val|leu|val	9
jk1	k10_as_query	CCJ67639-1_2757_mod3_d-val	d-val	94.96	no_confident_result	d-val	4.04692090529881	d-val|leu|val	9
jk1	k10_as_query	EFE73313-1_1569_mod2_met	met	100	no_confident_result	lys	0.763339213639264	lys|met	9
jk1	k10_as_query	EFE73313-1_1569_mod2_met	met	100	no_confident_result	lys	0.763339213639264	lys|met	9
jk1	k10_as_query	EPE34341-1_685_mod1_4oh-5oh-orn	4oh-5oh-orn	100	no_confident_result	4oh-5oh-hty	0.75462084711383	4oh-5oh-hty|4oh-5oh-orn	9
jk1	k10_as_query	EPE34341-1_685_mod1_4oh-5oh-orn	4oh-5oh-orn	100	no_confident_result	4oh-5oh-hty	0.75462084711383	4oh-5oh-hty|4oh-5oh-orn	9
jk1	k10_as_query	EWS95124_960_mod2_hpg	hpg	53.72	no_confident_result	no_confident_result	0	hpg	9
jk1	k10_as_query	EWS95124_960_mod2_hpg	hpg	53.72	no_confident_result	no_confident_result	0	hpg	9
jk1	k10_as_query	NP_216899-1_570_mod1_thr	thr	100	no_confident_result	ser|thr	0.883636779229694	ser|thr	9
jk1	k10_as_query	NP_216899-1_570_mod1_thr	thr	100	no_confident_result	ser|thr	0.883636779229694	ser|thr	9
jk1	k10_as_query	O05647_A2_phe	phe	61.31	no_confident_result	no_confident_result	0	phe	9
jk1	k10_as_query	O05647_A2_phe	phe	61.31	no_confident_result	no_confident_result	0	phe	9
jk1	k10_as_query	O33743_A5-9-_orn	orn	68.52	no_confident_result	orn	0.166635382107437	orn	9
jk1	k10_as_query	O33743_A5-9-_orn	orn	68.52	no_confident_result	orn	0.166635382107437	orn	9
jk1	k10_as_query	O69246_A3-6-_leu	leu	91.63	no_confident_result	leu	1.66921100836086	leu	9
jk1	k10_as_query	O69246_A3-6-_leu	leu	91.63	no_confident_result	leu	1.66921100836086	leu	9
jk1	k10_as_query	O85168_A4_dab	dab	90.7	no_confident_result	dab	2.39603999091257	d-dab|dab	9
jk1	k10_as_query	O85168_A4_dab	dab	90.7	no_confident_result	dab	2.39603999091257	d-dab|dab	9
jk1	k10_as_query	O85168_A6_phe	phe	83.88	no_confident_result	tyr	0.574161957371947	phe	9
jk1	k10_as_query	O85168_A6_phe	phe	83.88	no_confident_result	tyr	0.574161957371947	phe	9
jk1	k10_as_query	O85168_A7_dhab|dht|thr	dhab|dht|thr	60.61	no_confident_result	dhab|dht	0	athr|deoxy-thr|dhab|dht|ser|thr	9
jk1	k10_as_query	O85168_A7_dhab|dht|thr	dhab|dht|thr	60.61	no_confident_result	dhab|dht	0	athr|deoxy-thr|dhab|dht|ser|thr	9
jk1	k10_as_query	O87313_A2_b-ala	b-ala	37.84	no_confident_result	b-ala	0	b-ala	9
jk1	k10_as_query	O87313_A2_b-ala	b-ala	37.84	no_confident_result	b-ala	0	b-ala	9
jk1	k10_as_query	O87314_A3_orn	orn	100	no_confident_result	orn	0.653511270005749	orn	9
jk1	k10_as_query	O87314_A3_orn	orn	100	no_confident_result	orn	0.653511270005749	orn	9
jk1	k10_as_query	O87606_A1_glu	glu	97.01	glu	glu	1.91000154870579	glu	9
jk1	k10_as_query	O87606_A1_glu	glu	97.01	glu	glu	1.91000154870579	glu	9
jk1	k10_as_query	P11454_A1-2-_ser	ser	99.04	ser	ser	0.898518514366785	ser	9
jk1	k10_as_query	P11454_A1-2-_ser	ser	99.04	ser	ser	0.898518514366785	ser	9
jk1	k10_as_query	P26046_A1_aad	aad	100	aad	aad	1.68171245982478	aad	9
jk1	k10_as_query	P26046_A1_aad	aad	100	aad	aad	1.68171245982478	aad	9
jk1	k10_as_query	P26046_A2_cys	cys	99.81	cys	cys	1.26866263587365	cys	9
jk1	k10_as_query	P26046_A2_cys	cys	99.81	cys	cys	1.26866263587365	cys	9
jk1	k10_as_query	P27206_A1_glu	glu	72.08	no_confident_result	glu	0.198118493144248	glu	9
jk1	k10_as_query	P27206_A1_glu	glu	72.08	no_confident_result	glu	0.198118493144248	glu	9
jk1	k10_as_query	P27743_A2_cys	cys	66.16	cys	cys	0.139290429786294	cys	9
jk1	k10_as_query	P27743_A2_cys	cys	66.16	cys	cys	0.139290429786294	cys	9
jk1	k10_as_query	P45745_A2-3-_athr|thr	athr|thr	72.08	thr	thr	0.22592692780473	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k10_as_query	P45745_A2-3-_athr|thr	athr|thr	72.08	thr	thr	0.22592692780473	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k10_as_query	P68878_A1_ala	ala	99.15	ala	ala	0.631757967332717	ala	9
jk1	k10_as_query	P68878_A1_ala	ala	99.15	ala	ala	0.631757967332717	ala	9
jk1	k10_as_query	P94873_A1_aad	aad	64.24	no_confident_result	aad	0	aad	9
jk1	k10_as_query	P94873_A1_aad	aad	64.24	no_confident_result	aad	0	aad	9
jk1	k10_as_query	Q04747_A2-5-_asp	asp	69.92	asp	asp	0.257302232062205	asp	9
jk1	k10_as_query	Q04747_A2-5-_asp	asp	69.92	asp	asp	0.257302232062205	asp	9
jk1	k10_as_query	Q09164_A5_bmt	bmt	58.24	no_confident_result	no_confident_result	0	bmt	9
jk1	k10_as_query	Q09164_A5_bmt	bmt	58.24	no_confident_result	no_confident_result	0	bmt	9
jk1	k10_as_query	Q09164_A9_val	val	64.52	no_confident_result	val	0.0189658935372865	val	9
jk1	k10_as_query	Q09164_A9_val	val	64.52	no_confident_result	val	0.0189658935372865	val	9
jk1	k10_as_query	Q2VQ15_A2-5-_val	val	80.5	no_confident_result	val	0.6439372003386	val	9
jk1	k10_as_query	Q2VQ15_A2-5-_val	val	80.5	no_confident_result	val	0.6439372003386	val	9
jk1	k10_as_query	Q333U7_A2-4-_cys	cys	46.4	no_confident_result	val	0	cys|val	9
jk1	k10_as_query	Q333U7_A2-4-_cys	cys	46.4	no_confident_result	val	0	cys|val	9
jk1	k10_as_query	Q50E73_A3-8-_ala	ala	63.96	no_confident_result	ala	0	ala	9
jk1	k10_as_query	Q50E73_A3-8-_ala	ala	63.96	no_confident_result	ala	0	ala	9
jk1	k10_as_query	Q5DIP4_A2-5-_athr	athr	67.23	no_confident_result	thr	0.368223599907811	athr|deoxy-thr|dhab|dht|ser|thr	9
jk1	k10_as_query	Q5DIP4_A2-5-_athr	athr	67.23	no_confident_result	thr	0.368223599907811	athr|deoxy-thr|dhab|dht|ser|thr	9
jk1	k10_as_query	Q5DIV7_A1_ser	ser	99.62	no_confident_result	ser	2.54946034872809	ser	9
jk1	k10_as_query	Q5DIV7_A1_ser	ser	99.62	no_confident_result	ser	2.54946034872809	ser	9
jk1	k10_as_query	Q5DIV8_A1-5-_lys	lys	56.45	no_confident_result	orn	0	lys	9
jk1	k10_as_query	Q5DIV8_A1-5-_lys	lys	56.45	no_confident_result	orn	0	lys	9
jk1	k10_as_query	Q6YK40_A1_tyr	tyr	98.66	no_confident_result	tyr	1.66586604659999	tyr	9
jk1	k10_as_query	Q6YK40_A1_tyr	tyr	98.66	no_confident_result	tyr	1.66586604659999	tyr	9
jk1	k10_as_query	Q6YK40_A2_asn	asn	97.47	asn	asn	1.10423309964803	asn	9
jk1	k10_as_query	Q6YK40_A2_asn	asn	97.47	asn	asn	1.10423309964803	asn	9
jk1	k10_as_query	Q70AZ9b_A1_hpg|hpg2cl	hpg|hpg2cl	100	no_confident_result	hpg|hpg2cl	3.57967867278738	hpg|hpg2cl	9
jk1	k10_as_query	Q70AZ9b_A1_hpg|hpg2cl	hpg|hpg2cl	100	no_confident_result	hpg|hpg2cl	3.57967867278738	hpg|hpg2cl	9
jk1	k10_as_query	Q70JX1_A2_orn	orn	62.72	no_confident_result	orn	0	orn	9
jk1	k10_as_query	Q70JX1_A2_orn	orn	62.72	no_confident_result	orn	0	orn	9
jk1	k10_as_query	Q70JZ9_A2_asn	asn	97.86	asn	asn	1.35583209939058	asn	9
jk1	k10_as_query	Q70JZ9_A2_asn	asn	97.86	asn	asn	1.35583209939058	asn	9
jk1	k10_as_query	Q83VS1_A4-9-_dhab|dht	dhab|dht	100	dhab|dht	dhab|dht	3.41670830797003	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k10_as_query	Q83VS1_A4-9-_dhab|dht	dhab|dht	100	dhab|dht	dhab|dht	3.41670830797003	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k10_as_query	Q83VS1_A5-10-_ala	ala	100	ala	ala	3.99139462367735	ala	9
jk1	k10_as_query	Q83VS1_A5-10-_ala	ala	100	ala	ala	3.99139462367735	ala	9
jk1	k10_as_query	Q84BQ6v1_A1_leu	leu	100	leu	leu	1.18804616021473	d-leu|d-val|leu|val	9
jk1	k10_as_query	Q84BQ6v1_A1_leu	leu	100	leu	leu	1.18804616021473	d-leu|d-val|leu|val	9
jk1	k10_as_query	Q884E4_A2_ser	ser	89.41	ser	ser	0.676254834121811	ser	9
jk1	k10_as_query	Q884E4_A2_ser	ser	89.41	ser	ser	0.676254834121811	ser	9
jk1	k10_as_query	Q884E5_A1_asp	asp	57.57	no_confident_result	asp	0	asp	9
jk1	k10_as_query	Q884E5_A1_asp	asp	57.57	no_confident_result	asp	0	asp	9
jk1	k10_as_query	Q8CV01_A1_dhb|sal	dhb|sal	61.06	no_confident_result	dhb|sal	0	dhb|sal	9
jk1	k10_as_query	Q8CV01_A1_dhb|sal	dhb|sal	61.06	no_confident_result	dhb|sal	0	dhb|sal	9
jk1	k10_as_query	Q8J0L6_A1_lys-erg	lys-erg	37.96	no_confident_result	his	0	lys-erg	9
jk1	k10_as_query	Q8J0L6_A1_lys-erg	lys-erg	37.96	no_confident_result	his	0	lys-erg	9
jk1	k10_as_query	Q8KLL3_A2_tyr	tyr	82.24	no_confident_result	tyr	2.165374149829	tyr	9
jk1	k10_as_query	Q8KLL3_A2_tyr	tyr	82.24	no_confident_result	tyr	2.165374149829	tyr	9
jk1	k10_as_query	Q8NJX1_A10_ser	ser	56.23	no_confident_result	leu	0	ser	9
jk1	k10_as_query	Q8NJX1_A10_ser	ser	56.23	no_confident_result	leu	0	ser	9
jk1	k10_as_query	Q8NJX1_A3_ala	ala	58.37	no_confident_result	no_confident_result	0	ala	9
jk1	k10_as_query	Q8NJX1_A3_ala	ala	58.37	no_confident_result	no_confident_result	0	ala	9
jk1	k10_as_query	Q8NJX1_A8_ala	ala	51.29	no_confident_result	leu|val	0	ala	9
jk1	k10_as_query	Q8NJX1_A8_ala	ala	51.29	no_confident_result	leu|val	0	ala	9
jk1	k10_as_query	Q939Z0_A1-4-_hpg|hpg2cl	hpg|hpg2cl	86.51	no_confident_result	hpg|hpg2cl	3.6854448668958	hpg|hpg2cl	9
jk1	k10_as_query	Q939Z0_A1-4-_hpg|hpg2cl	hpg|hpg2cl	86.51	no_confident_result	hpg|hpg2cl	3.6854448668958	hpg|hpg2cl	9
jk1	k10_as_query	Q93N87_A1_hpg|hpg2cl	hpg|hpg2cl	100	hpg|hpg2cl	hpg|hpg2cl	1.9224507849747	hpg|hpg2cl	9
jk1	k10_as_query	Q93N87_A1_hpg|hpg2cl	hpg|hpg2cl	100	hpg|hpg2cl	hpg|hpg2cl	1.9224507849747	hpg|hpg2cl	9
jk1	k10_as_query	Q93N89_A1_hpg|hpg2cl	hpg|hpg2cl	100	hpg|hpg2cl	hpg|hpg2cl	2.81903458832724	hpg|hpg2cl	9
jk1	k10_as_query	Q93N89_A1_hpg|hpg2cl	hpg|hpg2cl	100	hpg|hpg2cl	hpg|hpg2cl	2.81903458832724	hpg|hpg2cl	9
jk1	k10_as_query	Q9F638/11127897_A_dhb	dhb	71.51	dhb|sal	dhb|sal	0.249758875991061	dhb|sal	9
jk1	k10_as_query	Q9F638/11127897_A_dhb	dhb	71.51	dhb|sal	dhb|sal	0.249758875991061	dhb|sal	9
jk1	k10_as_query	Q9FDB3_A1-1-_dhab|dht	dhab|dht	100	dhab|dht	dhab|dht	3.11056153711852	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k10_as_query	Q9FDB3_A1-1-_dhab|dht	dhab|dht	100	dhab|dht	dhab|dht	3.11056153711852	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k10_as_query	Q9R9J0_A1_tyr	tyr	83.98	no_confident_result	tyr	1.08814813431944	tyr	9
jk1	k10_as_query	Q9R9J0_A1_tyr	tyr	83.98	no_confident_result	tyr	1.08814813431944	tyr	9
jk1	k10_as_query	Q9R9J0_A4_pro	pro	77.67	pro	pro	0.395149268056361	pro	9
jk1	k10_as_query	Q9R9J0_A4_pro	pro	77.67	pro	pro	0.395149268056361	pro	9
jk1	k10_as_query	Q9RAH2_A2_gly	gly	66.21	no_confident_result	gly	0.260912928979387	gly	9
jk1	k10_as_query	Q9RAH2_A2_gly	gly	66.21	no_confident_result	gly	0.260912928979387	gly	9
jk1	k10_as_query	removed_A1-2-_athr|thr	athr|thr	63.45	no_confident_result	thr	0	athr|deoxy-thr|dhab|dht|ser|thr	9
jk1	k10_as_query	removed_A1-2-_athr|thr	athr|thr	63.45	no_confident_result	thr	0	athr|deoxy-thr|dhab|dht|ser|thr	9
jk1	k10_as_query	simA_mod4_val	val	54.78	no_confident_result	d-ala	0	val	9
jk1	k10_as_query	simA_mod4_val	val	54.78	no_confident_result	d-ala	0	val	9
jk1	k10_as_query	YP_116975-1_508_mod1_lys	lys	52.2	no_confident_result	lys	0	lys	9
jk1	k10_as_query	YP_116975-1_508_mod1_lys	lys	52.2	no_confident_result	lys	0	lys	9
jk1	k1_as_query	AEA30272-1_1550_mod2_ala	ala	55.86	no_confident_result	ala	0	ala	9
jk1	k1_as_query	AEA30272-1_1550_mod2_ala	ala	55.86	no_confident_result	ala	0	ala	9
jk1	k1_as_query	AEA30273-1_3652_mod4_d-trp	d-trp	58.13	no_confident_result	no_confident_result	0	d-trp	9
jk1	k1_as_query	AEA30273-1_3652_mod4_d-trp	d-trp	58.13	no_confident_result	no_confident_result	0	d-trp	9
jk1	k1_as_query	AEA30274-1_484_mod1_aoh-gly	aoh-gly	64.39	gly	gly	0.0927848362394545	aoh-gly	9
jk1	k1_as_query	AEA30274-1_484_mod1_aoh-gly	aoh-gly	64.39	gly	gly	0.0927848362394545	aoh-gly	9
jk1	k1_as_query	AGC65513-1_491_mod1_phe|tyr	phe|tyr	33.06	no_confident_result	no_confident_result	0	phe|tyr	9
jk1	k1_as_query	AGC65513-1_491_mod1_phe|tyr	phe|tyr	33.06	no_confident_result	no_confident_result	0	phe|tyr	9
jk1	k1_as_query	AGC65514-1_4147_mod3_val	val	40.74	no_confident_result	ile|val	0	val	9
jk1	k1_as_query	AGC65514-1_4147_mod3_val	val	40.74	no_confident_result	ile|val	0	val	9
jk1	k1_as_query	AGC65516-1_2153_mod2_ser	ser	57.83	ser	ser	0	ser	9
jk1	k1_as_query	AGC65516-1_2153_mod2_ser	ser	57.83	ser	ser	0	ser	9
jk1	k1_as_query	AGM16412-1_456_mod1_orn	orn	100	orn	orn	2.85172529055751	orn	9
jk1	k1_as_query	AGM16412-1_456_mod1_orn	orn	100	orn	orn	2.85172529055751	orn	9
jk1	k1_as_query	AGM16413-1_1312_mod2_lys	lys	100	no_confident_result	lys	3.56639618438206	lys	9
jk1	k1_as_query	AGM16413-1_1312_mod2_lys	lys	100	no_confident_result	lys	3.56639618438206	lys	9
jk1	k1_as_query	AHF21228-1_11933_mod9_phe	phe	100	no_confident_result	phe	2.13160497613648	phe	9
jk1	k1_as_query	AHF21228-1_11933_mod9_phe	phe	100	no_confident_result	phe	2.13160497613648	phe	9
jk1	k1_as_query	AHH53508-1_483_mod1_glu	glu	100	no_confident_result	glu	0.829536681841735	glu	9
jk1	k1_as_query	AHH53508-1_483_mod1_glu	glu	100	no_confident_result	glu	0.829536681841735	glu	9
jk1	k1_as_query	AHZ20773-1_2017_mod2_tyr	tyr	46.14	no_confident_result	leu	0	tyr	9
jk1	k1_as_query	AHZ20773-1_2017_mod2_tyr	tyr	46.14	no_confident_result	leu	0	tyr	9
jk1	k1_as_query	AHZ20781-1_481_mod1_thr	thr	100	thr	thr	0.825195967032437	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k1_as_query	AHZ20781-1_481_mod1_thr	thr	100	thr	thr	0.825195967032437	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k1_as_query	AHZ34233-1_2589_mod3_val	val	66.4	no_confident_result	ile|val	0.0470439643498606	val	9
jk1	k1_as_query	AHZ34233-1_2589_mod3_val	val	66.4	no_confident_result	ile|val	0.0470439643498606	val	9
jk1	k1_as_query	AHZ34233-1_3643_mod4_leu	leu	94.98	leu	leu	1.06904867294127	d-leu|d-val|leu|val	9
jk1	k1_as_query	AHZ34233-1_3643_mod4_leu	leu	94.98	leu	leu	1.06904867294127	d-leu|d-val|leu|val	9
jk1	k1_as_query	AHZ34233-1_4704_mod5_leu	leu	76.05	no_confident_result	leu	0.255898957239722	d-leu|d-val|leu|val	9
jk1	k1_as_query	AHZ34233-1_4704_mod5_leu	leu	76.05	no_confident_result	leu	0.255898957239722	d-leu|d-val|leu|val	9
jk1	k1_as_query	BGC0000369_AHZ20773-1_2017_mod2_tyr	tyr	46.14	no_confident_result	leu	0	tyr	9
jk1	k1_as_query	BGC0000369_AHZ20773-1_2017_mod2_tyr	tyr	46.14	no_confident_result	leu	0	tyr	9
jk1	k1_as_query	BGC0000398_AFH75329-1_2729_mod3_leu	leu	69.63	no_confident_result	leu	0.0726744185429997	d-leu|d-val|leu|val	9
jk1	k1_as_query	BGC0000398_AFH75329-1_2729_mod3_leu	leu	69.63	no_confident_result	leu	0.0726744185429997	d-leu|d-val|leu|val	9
jk1	k1_as_query	BGC0000398_AFH75329-1_566_mod1_thr	thr	78.71	no_confident_result	thr	3.62053852120352	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k1_as_query	BGC0000398_AFH75329-1_566_mod1_thr	thr	78.71	no_confident_result	thr	3.62053852120352	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
